Depth (ft),Weight on bit (k-lbs),Temperature Out (deg F),Temperature In(deg F),Pit Total (bbls),Pump Pressure (psi),Hook load (k-lbs),Surface Torque (psi),Rotary Speed (rpm),Flow In (gal/min),Flow Out Percentage (%),ROP (ft/hr)
3218.08,22.83,131.61,126.82,221.66,1621.15,80.37,112.1,50.01,689.98,88.64,20.25
3219.08,22.54,131.73,126.9,222.82,1621.15,80.66,105.5,55.17,691.21,88.79,22.95
3220.08,22.29,131.88,127.09,223.79,1612.19,80.91,101.04,54.5,689.57,90.19,20.04
3221.09,22.87,131.88,127.17,224.78,1626.38,80.33,99.33,50.62,688.75,83.09,22.11
3222.09,24.62,131.99,127.32,224.79,1630.86,78.58,99.71,52.33,689.36,87.19,25.06
3223.11,24.7,132.15,127.36,225.56,1637.58,78.5,113.28,49.98,687.93,88.44,30.62
3224.12,22.12,132.07,127.28,229.71,1685.36,81.08,114.04,45.53,701.45,90.29,38.35
3225.14,22.5,131.95,127.32,230.68,1676.4,80.7,97.88,47.08,703.29,92.45,33.67
3226.14,22.96,132.15,127.51,231.14,1680.88,80.24,97.04,45.13,703.29,93.6,33.96
3227.14,24.74,131.61,127.66,231.91,1665.95,78.46,100.28,44.34,705.34,92.35,25.58
3228.14,23.2,130.73,127.81,233.51,1645.79,80.0,105.92,43.76,708.82,94.05,24.04
3229.14,23.58,130.47,127.97,234.5,1598.75,79.62,96.24,45.56,716.39,92.9,27.71
3230.15,21.83,130.12,128.12,234.55,1607.71,81.37,103.25,47.21,715.98,87.29,26.52
3231.15,21.46,129.97,128.2,235.31,1610.7,81.74,91.78,44.31,714.55,91.24,33.99
3232.18,21.96,129.9,128.23,236.16,1616.67,81.24,89.3,45.22,714.55,91.39,39.75
3233.18,23.33,129.86,128.39,236.64,1593.53,79.87,92.62,44.19,718.03,84.39,30.27
3234.19,19.97,129.67,128.54,237.11,1577.85,83.23,98.83,41.72,721.1,90.89,22.24
3235.19,21.34,129.67,128.73,237.55,1586.06,81.86,88.88,43.18,720.28,81.99,30.01
3236.21,23.16,129.71,128.84,238.06,1595.02,80.04,91.4,45.35,716.6,89.69,26.63
3237.21,22.21,129.9,128.96,238.67,1609.95,80.99,101.46,38.33,714.14,88.49,26.47
3238.23,25.2,129.93,129.03,238.71,1615.93,78.0,104.17,41.9,711.89,91.39,44.22
3239.26,23.12,130.39,129.15,239.12,1633.84,80.08,108.55,34.42,709.64,79.09,27.27
3240.28,25.16,130.39,129.15,239.39,1641.31,78.04,108.78,40.95,708.2,83.14,45.3
3241.28,25.24,130.39,129.19,239.76,1649.52,77.96,105.31,27.68,706.36,86.59,41.42
3242.29,24.33,130.43,129.15,240.02,1650.27,78.87,103.41,32.62,705.75,89.59,45.03
3243.29,24.41,130.47,129.15,240.48,1656.24,78.79,112.1,25.27,704.52,89.34,62.24
3244.3,23.2,130.43,129.15,240.24,1655.5,80.0,96.2,34.85,703.7,88.49,76.41
3245.32,26.19,130.43,129.11,240.63,1651.76,77.01,103.1,34.67,705.34,88.69,65.56
3246.32,24.78,130.47,129.07,241.18,1651.76,78.42,103.9,36.56,704.11,89.34,59.03
3247.33,23.45,130.43,129.11,241.23,1658.48,79.75,99.02,21.61,703.29,88.24,57.18
3248.33,23.54,130.35,129.07,241.33,1666.7,79.66,101.01,29.33,703.7,87.59,54.57
3249.33,25.49,130.24,129.15,242.3,1641.31,77.71,105.05,34.0,706.97,87.94,38.33
3250.34,23.7,131.27,129.68,241.53,1521.1,79.5,156.25,43.27,702.26,92.25,14.97
3251.34,24.16,131.54,129.91,241.64,1534.54,79.04,149.39,43.88,698.37,85.64,14.27
3252.34,24.08,131.69,130.18,241.79,1559.93,79.12,156.48,40.74,694.07,88.44,17.85
3253.34,26.11,131.69,130.25,241.98,1561.42,77.09,150.68,40.46,695.3,86.89,21.63
3254.35,25.24,131.73,130.45,241.99,1562.17,77.96,153.27,42.17,694.69,87.49,23.13
3255.35,25.9,131.73,130.52,242.38,1555.45,77.3,152.47,38.97,696.12,87.59,24.89
3256.35,25.24,131.69,130.6,242.63,1550.97,77.96,138.44,43.61,695.92,85.09,16.8
3257.35,25.28,131.65,130.64,242.8,1559.18,77.92,147.37,41.96,694.89,89.49,16.48
3258.36,25.2,131.99,130.67,242.92,1555.45,78.0,146.22,42.51,694.89,84.89,18.7
3259.36,25.53,131.84,130.71,242.97,1558.43,77.67,144.35,45.68,694.69,89.49,17.87
3260.36,23.83,131.95,130.79,243.09,1551.71,79.37,150.38,46.47,694.89,90.04,16.7
3261.36,26.11,131.95,130.83,243.11,1566.65,77.09,155.94,41.07,692.23,91.44,17.85
3262.36,26.82,132.11,130.83,243.4,1570.38,76.38,150.76,37.44,691.62,90.09,21.87
3263.37,25.86,132.07,130.9,243.41,1574.86,77.34,151.52,41.68,689.36,88.44,30.56
3264.37,24.91,132.11,130.94,243.82,1586.06,78.29,158.76,37.72,688.55,89.74,41.43
3265.37,26.15,132.22,130.94,244.23,1590.54,77.05,152.86,38.76,688.75,84.39,53.8
3266.37,25.36,132.22,130.98,244.28,1596.51,77.84,145.92,42.57,688.14,84.79,59.05
3267.37,26.03,132.22,131.06,244.49,1588.3,77.17,154.8,34.09,688.34,88.99,42.39
3268.37,26.94,132.22,131.09,244.5,1583.07,76.26,153.85,40.89,688.75,89.39,49.4
3269.39,25.11,132.3,131.17,245.22,1593.53,78.09,147.44,39.88,687.52,88.94,42.23
3270.39,25.86,132.22,131.25,245.05,1584.57,77.34,159.15,40.95,688.34,90.59,45.05
3271.4,26.49,132.18,131.25,244.92,1588.3,76.71,154.42,39.88,688.75,91.44,47.43
3272.4,26.73,132.3,131.28,245.08,1577.85,76.47,149.61,41.72,690.8,91.85,29.55
3273.4,25.61,132.37,131.21,245.25,1574.86,77.59,157.96,41.81,690.59,89.99,22.14
3274.4,27.57,132.56,131.13,245.16,1580.09,75.63,155.07,53.98,690.59,83.94,23.89
3275.4,27.27,132.53,131.13,245.0,1574.11,75.93,166.08,55.35,690.59,84.69,23.59
3276.41,26.82,132.76,131.09,244.62,1575.61,76.38,164.45,52.91,691.41,93.4,24.72
3277.41,26.53,132.83,131.06,244.54,1573.37,76.67,166.5,54.99,690.59,89.29,25.97
3278.41,25.78,132.72,131.06,244.67,1584.57,77.42,173.44,54.53,687.52,91.65,32.52
3279.41,26.24,132.87,131.09,244.27,1576.35,76.96,166.77,55.23,688.34,91.09,34.36
3280.42,26.73,132.83,131.13,243.81,1575.61,76.47,173.21,55.41,688.96,88.74,30.06
3281.42,26.53,132.95,131.21,243.95,1571.13,76.67,160.98,59.81,689.98,88.84,25.58
3282.43,10.5,134.36,119.88,227.74,1613.69,92.7,91.97,29.76,699.4,89.69,19.7
3283.44,13.43,134.19,122.44,227.66,1621.15,86.97,92.2,33.9,698.58,89.89,12.67
3284.44,19.45,134.35,122.82,227.5,1639.82,80.95,108.06,36.5,694.28,88.24,24.51
3285.44,19.66,134.46,123.09,226.81,1639.82,80.74,87.28,35.25,694.28,87.84,28.59
3286.45,20.03,134.54,123.32,227.0,1641.31,80.37,108.63,29.45,693.46,87.59,26.91
3287.45,21.03,134.65,123.47,226.83,1627.12,79.37,117.17,39.92,693.05,79.19,31.93
3289.0,20.0,134.31,123.93,228.04,1664.56,80.46,47.48,0.0,288.85,47.52,30.0
3290.0,20.65,134.35,123.47,224.2,1655.5,79.75,122.32,45.8,696.94,80.79,26.22
3291.01,20.49,134.69,123.7,224.21,1662.96,79.91,119.08,40.53,697.35,80.19,31.09
3292.01,20.99,134.92,123.96,223.91,1654.75,79.41,91.82,35.06,697.56,81.54,26.14
3293.01,22.11,135.19,124.19,224.08,1667.44,78.29,124.22,28.99,704.81,81.19,26.93
3294.01,21.82,135.45,124.38,223.68,1679.39,78.58,178.06,37.11,703.17,79.34,31.38
3295.01,21.61,135.68,124.65,223.57,1668.94,78.79,110.61,29.54,695.51,79.74,30.33
3296.02,23.27,135.87,124.84,223.79,1671.92,77.13,122.97,33.72,696.53,89.79,30.07
3297.02,21.98,135.1,125.03,224.03,1665.2,78.42,106.04,47.76,696.94,89.94,29.81
3298.02,23.39,135.22,125.18,223.6,1661.47,77.01,124.8,51.2,694.89,89.34,33.08
3299.02,22.48,135.29,125.37,223.39,1669.68,77.92,107.26,35.61,696.12,90.44,31.68
3300.02,22.65,135.29,125.57,222.44,1663.71,77.75,108.25,45.13,694.89,90.39,29.09
3301.03,22.15,135.37,125.76,222.81,1664.46,78.25,115.3,37.6,694.48,91.04,29.32
3302.03,21.9,135.48,125.87,222.06,1667.44,78.5,132.42,38.33,694.07,90.54,30.56
3303.03,22.31,135.52,126.02,221.9,1668.19,78.09,128.07,45.13,729.74,89.39,34.05
3304.03,21.82,135.56,126.14,222.0,1672.67,78.58,144.58,33.84,731.04,87.74,31.35
3305.03,21.15,135.6,126.25,221.7,1669.68,79.25,142.29,48.4,729.96,80.99,35.03
3306.04,22.31,135.63,126.33,221.7,1685.36,78.09,160.06,30.79,728.88,85.79,38.77
3307.04,20.86,135.63,126.44,221.61,1674.16,79.54,155.94,41.23,728.45,83.94,35.03
3308.04,22.77,135.56,126.56,221.55,1669.68,77.63,145.04,43.85,728.23,85.99,32.54
3309.04,22.94,135.48,126.71,221.35,1670.43,77.46,149.73,47.39,728.66,83.49,26.73
3310.04,22.27,135.6,126.86,221.04,1670.43,78.13,161.09,32.01,727.8,84.79,28.62
3311.05,23.73,135.71,126.98,220.87,1665.2,76.67,154.42,46.29,728.02,87.79,25.89
3312.05,21.73,135.83,127.13,220.64,1668.19,78.67,151.64,43.85,727.8,81.94,26.93
3313.05,22.07,135.02,127.24,220.26,1671.18,78.33,158.04,45.68,727.37,87.94,25.67
3314.05,22.9,135.21,127.4,219.91,1658.48,77.5,144.2,45.22,728.02,87.19,22.73
3315.07,22.4,135.36,127.55,219.67,1692.08,78.0,149.77,43.52,735.35,90.79,21.5
3316.08,21.03,135.47,127.62,219.54,1708.51,79.37,148.28,46.9,736.86,89.04,31.66
3317.08,21.94,135.51,127.74,219.5,1710.0,78.46,138.29,38.6,735.99,89.59,43.17
3318.08,21.36,135.59,127.85,219.48,1711.5,79.04,138.94,38.51,735.78,88.84,38.74
3319.08,22.11,135.7,127.97,219.3,1711.5,78.29,147.44,42.87,736.86,89.84,34.67
3320.08,22.27,135.74,128.04,219.5,1719.71,78.13,151.98,46.35,737.5,87.99,37.55
3321.08,21.48,135.85,128.2,219.38,1715.98,78.92,131.35,35.43,736.64,86.74,35.63
3322.12,21.14,135.9,127.55,216.56,1734.64,64.26,163.64,34.12,727.17,89.54,38.97
3323.12,21.07,135.17,127.59,216.63,1706.27,79.33,128.65,53.55,736.86,89.79,35.3
3324.12,21.32,135.4,127.66,216.54,1704.78,79.08,117.13,37.2,735.57,83.74,40.97
3325.12,21.53,135.55,127.7,216.52,1695.82,78.87,116.6,40.56,735.36,84.74,45.6
3326.12,21.36,136.85,127.81,216.44,1687.6,79.04,122.85,49.4,732.56,87.69,23.9
3327.12,22.23,136.05,127.97,216.44,1687.6,78.17,122.89,43.03,732.56,87.84,27.33
3328.12,21.28,136.2,128.12,216.47,1676.4,79.12,116.18,40.28,731.05,92.8,23.72
3329.13,21.73,136.27,128.2,216.58,1682.38,78.67,117.21,41.53,731.05,91.39,26.92
3330.13,21.07,136.2,128.31,216.53,1658.48,79.33,118.96,36.5,728.25,85.84,22.28
3331.13,21.82,136.93,128.39,216.41,1656.99,78.58,114.92,46.87,725.45,88.94,22.55
3332.13,21.98,136.66,128.42,216.25,1656.24,78.42,128.19,46.72,725.67,90.89,20.16
3333.14,21.9,136.85,128.46,215.93,1657.74,78.5,122.05,41.5,725.67,91.75,20.62
3334.16,20.57,136.08,128.5,215.37,1669.68,79.83,122.93,38.69,725.67,89.99,28.25
3335.16,21.9,136.12,128.58,216.24,1664.46,78.5,127.08,51.39,725.23,90.89,36.79
3336.16,21.57,136.24,128.58,215.79,1664.46,78.83,106.8,39.73,726.96,90.99,21.59
3337.16,21.36,136.43,128.62,216.0,1657.74,79.04,117.13,36.93,727.39,84.94,22.13
3338.16,21.15,136.5,128.69,215.31,1658.48,79.25,119.31,40.71,725.02,85.44,24.23
3339.17,21.78,136.5,128.77,215.13,1672.67,78.62,121.48,41.23,728.03,84.19,25.58
3340.17,21.28,136.66,128.88,214.91,1663.71,79.12,116.37,40.86,726.96,85.24,24.36
3341.17,21.82,136.73,129.0,214.75,1670.43,78.58,119.0,39.18,728.68,83.04,24.89
3342.17,21.61,136.62,129.07,214.67,1662.96,78.79,114.88,37.84,726.1,82.79,24.05
3343.17,22.52,136.39,129.19,214.63,1651.76,77.88,124.45,43.18,726.74,85.89,24.07
3344.2,22.02,136.12,129.23,214.63,1659.98,78.38,122.58,41.68,725.67,86.89,24.19
3345.2,21.69,136.89,129.26,214.61,1671.92,78.71,106.84,53.58,726.1,89.04,23.89
3346.2,22.73,136.63,129.3,214.58,1665.95,77.67,131.51,48.52,725.88,91.9,26.14
3347.2,21.28,136.4,129.42,214.55,1665.2,79.12,121.33,43.58,725.45,82.84,24.89
3348.2,20.99,136.17,129.49,214.19,1662.96,79.41,124.8,51.63,724.37,84.54,25.57
3349.21,21.9,136.9,129.61,213.91,1660.72,78.5,110.88,49.62,725.67,87.84,25.78
3350.21,20.61,136.67,129.68,213.92,1663.71,79.79,118.01,50.44,723.51,87.94,23.29
3351.21,21.78,136.48,129.76,213.71,1661.47,78.62,119.15,56.27,725.02,86.99,23.9
3352.21,21.53,136.29,129.8,213.81,1659.98,78.87,115.91,48.37,724.59,88.19,22.99
3353.22,21.69,136.02,129.87,213.09,1658.48,78.71,112.25,45.99,725.88,88.94,20.26
3354.23,20.74,136.5,128.5,212.29,1754.8,79.66,129.29,38.24,735.35,93.7,46.86
3355.23,21.69,136.35,128.73,212.6,1753.31,78.71,124.11,38.76,737.93,93.55,27.53
3356.23,21.4,136.12,128.96,212.48,1751.81,79.0,121.9,40.49,738.8,94.05,21.1
3357.24,20.45,137.93,129.23,212.54,1752.56,79.95,123.04,41.62,737.72,93.7,19.93
3358.24,21.19,137.74,129.53,212.74,1744.35,79.21,136.84,41.9,736.21,93.15,22.0
3359.24,21.24,137.55,129.8,213.38,1746.59,79.16,127.35,45.71,734.05,94.5,23.43
3360.24,20.82,137.43,129.99,212.99,1738.37,79.58,110.16,36.71,733.84,93.55,21.99
3361.24,22.07,138.28,130.18,213.2,1732.4,78.33,133.03,49.53,729.74,93.8,20.04
3362.25,21.4,138.17,130.29,213.16,1742.11,79.0,135.81,38.48,728.88,93.4,22.97
3363.27,21.11,138.09,130.48,213.33,1722.7,79.29,137.91,47.82,725.65,92.1,23.4
3364.27,21.86,138.05,130.52,213.25,1742.11,78.54,138.06,40.56,725.0,86.49,32.19
3365.29,21.48,139.05,130.6,213.09,1737.63,78.92,125.06,50.47,730.39,86.44,25.7
3366.29,21.07,138.01,130.64,213.24,1738.37,79.33,127.16,42.36,730.17,89.89,20.62
3367.29,21.07,139.97,130.75,213.02,1726.43,79.33,134.25,42.81,726.94,91.95,19.94
3368.32,21.48,139.97,130.83,213.28,1730.16,78.92,126.47,44.83,725.22,91.95,22.28
3369.32,21.36,139.97,130.79,213.21,1728.67,79.04,128.07,43.61,728.02,91.04,25.77
3370.32,21.73,139.97,130.86,213.38,1737.63,78.67,140.73,40.07,726.29,90.29,22.99
3371.32,21.86,139.97,130.86,213.17,1735.39,78.54,136.65,39.88,726.08,89.99,35.7
3371.32,21.86,139.97,130.86,213.17,1735.39,78.54,136.65,39.88,726.08,89.99,35.7
3372.32,22.23,139.01,130.94,213.31,1735.39,78.17,129.33,37.6,726.94,90.09,30.26
3373.33,21.61,139.05,130.98,213.15,1725.68,78.79,134.1,46.51,726.73,90.14,23.81
3374.33,21.11,139.09,131.02,213.19,1742.11,79.29,135.28,41.23,723.71,81.79,29.09
3375.33,22.02,139.13,131.09,213.22,1734.64,78.38,136.19,57.0,725.65,80.59,46.18
3376.33,22.36,139.13,131.09,213.07,1721.95,78.04,123.84,53.06,726.73,83.39,28.2
3377.33,22.44,140.2,131.13,213.31,1712.24,77.96,118.62,54.62,727.37,89.69,18.31
3378.34,21.36,140.24,131.17,213.53,1708.51,79.04,119.57,33.97,725.22,83.09,16.48
3379.34,21.9,140.28,131.21,213.48,1717.47,78.5,121.94,35.19,726.29,87.34,19.08
3380.34,22.77,140.36,131.28,213.43,1721.95,77.63,125.63,42.78,727.16,88.64,19.82
3381.34,21.86,140.39,131.36,213.51,1733.15,78.54,128.57,40.83,726.08,87.79,24.55
3382.34,21.82,140.47,131.4,213.67,1736.13,78.58,130.55,35.52,727.37,87.79,23.88
3383.35,21.24,140.55,131.44,213.64,1736.88,79.16,135.24,35.52,727.37,86.99,23.58
3384.37,22.44,140.62,131.55,213.98,1732.4,77.96,127.31,39.64,726.08,85.04,21.0
3385.37,22.65,140.7,131.59,213.85,1740.61,77.75,136.42,40.43,723.28,83.44,27.12
3386.37,14.38,140.93,130.9,213.3,1712.8,86.02,113.55,44.31,731.47,86.69,17.53
3387.38,14.01,140.85,131.09,212.95,1706.6,86.39,122.51,45.68,734.48,87.39,20.25
3388.38,14.72,140.78,131.32,212.9,1708.85,85.68,112.98,46.2,730.82,79.49,16.95
3389.38,14.8,140.74,131.59,213.2,1716.34,85.6,116.33,42.14,730.39,83.24,17.61
3390.38,14.42,140.74,131.78,213.3,1726.08,85.98,125.44,41.23,728.45,85.64,20.38
3391.39,14.26,140.74,131.93,213.17,1715.59,86.14,118.35,40.8,727.37,86.84,17.02
3392.39,15.13,140.78,131.89,212.87,1718.59,85.27,118.47,45.71,726.73,89.04,17.87
3393.39,14.84,140.93,132.01,212.5,1714.84,85.56,101.58,46.17,726.73,87.74,16.87
3394.39,14.76,140.04,132.05,212.43,1710.35,85.64,115.07,40.74,725.43,90.84,19.4
3395.4,15.26,140.19,132.31,212.41,1715.59,85.14,119.57,44.25,726.08,87.69,16.11
3396.4,14.38,140.35,132.85,212.79,1716.34,86.02,108.25,43.06,727.16,91.34,15.89
3397.42,15.26,140.39,133.19,212.69,1723.08,85.14,110.42,42.87,728.66,89.94,19.46
3398.42,14.88,140.65,133.0,212.86,1717.09,85.52,100.47,44.43,730.17,88.84,11.79
3399.43,16.5,140.77,132.85,213.1,1728.32,83.9,104.86,47.85,729.1,92.6,15.83
3400.43,16.63,140.71,132.96,213.34,1729.82,83.77,114.96,43.85,732.54,91.85,15.23
3401.43,17.75,140.86,133.27,213.38,1726.08,82.65,110.73,43.91,732.98,85.34,14.96
3402.43,17.04,140.02,133.65,213.92,1727.58,83.36,110.99,45.19,734.27,88.99,12.76
3403.44,16.63,140.13,133.84,214.07,1729.07,83.77,103.98,45.71,735.99,90.04,13.82
3404.44,16.71,140.17,134.03,214.68,1737.31,83.69,100.74,44.67,735.78,92.15,15.9
3405.44,17.21,140.28,134.03,215.33,1730.57,83.19,101.01,46.99,737.07,85.14,14.27
3406.44,17.58,140.32,134.07,215.77,1739.56,82.82,116.87,41.47,734.27,92.5,16.49
3407.45,16.54,140.25,134.22,216.05,1729.07,83.86,100.55,43.67,735.78,91.19,16.56
3408.45,16.54,140.09,134.37,216.22,1730.57,83.86,117.28,42.08,736.21,86.14,15.23
3409.45,16.42,140.94,134.56,216.61,1726.83,83.98,105.58,43.3,734.92,92.35,13.32
3410.46,16.33,140.86,134.72,216.97,1726.83,84.07,106.5,32.59,734.05,84.34,16.64
3411.46,16.25,140.6,134.87,217.59,1726.08,84.15,103.9,37.96,733.62,90.04,17.17
3412.46,16.13,140.41,135.02,218.04,1731.32,84.27,117.32,32.47,732.33,89.49,15.7
3413.46,17.46,140.29,135.21,218.06,1731.32,82.94,118.16,39.88,732.98,91.9,20.49
3414.47,16.75,140.22,135.36,218.15,1720.08,83.65,124.83,42.87,730.17,89.89,15.43
3415.47,16.75,140.22,135.59,218.93,1728.32,83.65,112.29,42.57,733.62,91.29,16.56
3416.47,16.04,140.1,135.78,219.58,1725.33,84.36,112.33,48.06,733.41,83.44,16.04
3417.47,16.42,140.03,135.97,219.92,1717.84,83.98,137.64,30.98,731.47,89.44,16.48
3418.48,19.2,140.19,134.64,219.37,1745.55,81.2,163.0,42.94,730.39,93.5,30.59
3419.49,18.25,140.11,134.72,219.36,1739.56,82.15,158.38,40.71,730.82,92.8,22.71
3420.49,19.41,140.92,134.79,219.53,1732.07,80.99,176.38,47.6,734.48,82.99,15.69
3421.49,18.66,140.77,135.1,219.43,1741.06,81.74,168.87,40.74,731.25,88.39,18.23
3422.49,18.62,140.65,135.25,220.69,1744.8,81.78,166.69,39.88,728.88,83.64,26.54
3423.5,18.49,140.54,135.29,220.98,1749.3,81.91,175.65,41.81,733.93,91.54,34.68
3424.5,19.16,140.42,135.29,221.33,1735.07,81.24,148.17,42.9,727.59,84.59,22.97
3425.5,19.24,140.31,135.25,221.15,1730.57,81.16,164.22,43.03,729.53,87.69,16.86
3426.5,19.16,140.16,135.33,221.07,1728.32,81.24,172.45,43.15,728.88,85.59,14.74
3427.51,19.45,140.97,135.4,221.1,1720.83,80.95,163.87,46.2,730.39,87.04,16.04
3428.51,18.79,140.97,135.63,221.04,1728.32,81.61,161.47,43.09,728.88,86.24,19.93
3429.51,19.53,140.89,135.86,221.04,1723.08,80.87,165.17,44.74,729.31,83.99,18.32
3430.51,18.62,140.81,136.05,220.73,1713.34,81.78,163.19,45.86,729.1,85.84,15.1
3431.51,18.99,140.74,136.16,220.61,1724.58,81.41,159.87,40.71,725.86,86.69,17.95
3432.52,18.0,140.66,136.39,220.22,1734.89,82.4,164.22,38.88,726.51,86.74,21.74
3433.52,19.28,140.66,136.58,219.81,1719.13,81.12,169.94,41.07,728.45,87.74,18.79
3434.52,17.79,140.59,136.77,219.38,1714.63,82.61,168.98,41.35,726.73,82.39,16.79
3435.53,19.82,140.59,136.93,219.36,1716.13,80.58,154.84,44.13,727.59,86.24,19.0
3436.53,19.32,140.59,136.93,219.19,1722.89,81.08,155.52,37.35,726.94,86.69,14.68
3437.53,18.62,140.59,136.85,218.85,1725.14,81.78,166.58,35.37,724.79,91.75,17.35
3438.53,18.45,140.55,136.81,218.56,1736.39,81.95,161.32,39.85,726.51,84.24,23.14
3439.54,19.08,140.51,136.85,217.84,1723.64,81.32,158.31,35.86,725.43,89.04,18.42
3440.54,19.86,140.47,136.85,217.47,1738.64,80.54,158.08,29.91,723.71,90.89,20.54
3441.54,19.28,140.43,136.77,217.66,1732.64,81.12,158.84,39.12,725.0,91.95,22.15
3442.54,18.58,140.43,136.81,217.74,1731.14,81.82,165.36,40.13,724.57,87.09,23.13
3443.55,18.91,140.39,136.77,217.99,1728.14,81.49,155.3,38.15,723.92,86.64,20.16
3444.55,18.83,140.39,136.85,217.83,1702.63,81.57,170.05,44.03,736.42,90.54,24.37
3445.55,19.49,140.36,136.89,217.45,1663.61,80.91,142.49,43.79,736.21,93.85,23.9
3446.55,19.45,140.28,136.39,221.67,1687.62,80.95,159.87,33.78,736.42,86.09,13.27
3447.56,19.08,140.2,135.4,223.64,1707.13,81.32,149.61,45.77,730.6,89.44,14.33
3448.56,19.99,140.13,135.9,222.1,1722.14,80.41,164.67,37.93,727.37,85.39,14.79
3449.6,20.0,140.8,131.36,222.26,1720.77,107.32,82.97,0.0,300.18,1.54,14.0
3450.83,18.0,140.84,131.36,222.22,1713.03,105.62,82.97,0.0,302.12,1.54,14.03
3452.02,20.0,140.84,131.36,222.17,1715.29,102.21,85.11,0.0,303.19,1.49,22.55
3453.11,17.0,140.73,131.17,215.63,1704.85,105.08,91.32,36.59,673.92,83.69,21.56
3454.13,21.8,140.76,131.17,215.05,1708.09,98.6,89.61,36.5,672.63,84.19,21.55
3455.15,20.0,140.73,131.17,214.68,1711.9,101.09,92.62,43.61,675.86,85.44,21.77
3456.16,19.83,140.73,131.13,214.57,1718.9,96.57,99.56,44.16,676.07,88.34,17.07
3457.16,18.54,140.61,130.52,213.68,1694.88,81.86,161.51,60.66,721.34,88.89,21.71
3458.18,20.36,140.9,134.14,211.05,1699.13,80.04,185.53,51.91,714.44,86.99,26.93
3459.18,20.11,140.82,134.07,211.04,1697.63,80.29,165.86,45.38,712.5,86.49,20.98
3460.19,20.45,140.71,134.11,211.07,1692.36,79.95,169.63,48.76,713.36,87.44,16.87
3461.19,20.65,140.63,133.99,211.48,1684.83,79.75,170.74,51.78,715.73,80.79,15.69
3462.19,21.57,140.44,133.99,212.55,1677.3,78.83,161.74,62.07,715.09,91.04,11.14
3463.19,21.94,140.36,133.99,212.88,1679.56,78.46,155.52,47.97,712.93,81.59,13.32
3464.2,21.69,140.29,133.95,213.09,1686.34,78.71,168.94,51.63,713.79,82.74,12.76
3465.2,19.41,140.17,133.88,213.13,1685.58,80.99,169.55,52.82,712.28,83.39,15.3
3466.2,20.45,140.1,133.84,213.65,1689.35,79.95,176.04,47.88,713.36,84.34,19.72
3467.21,21.44,140.02,133.72,214.98,1663.75,78.96,168.14,48.12,717.03,82.99,16.11
3468.21,19.95,140.94,133.34,215.8,1633.64,80.45,167.91,55.08,723.71,84.24,12.89
3469.21,20.7,140.87,133.08,216.72,1627.62,79.7,175.54,50.81,728.45,82.99,14.32
3470.21,21.57,140.75,132.89,218.69,1614.07,78.83,164.83,47.39,728.88,85.34,12.07
3471.22,20.65,140.71,132.92,219.45,1644.93,79.75,156.71,50.23,722.85,84.54,12.85
3472.22,23.44,140.6,132.89,220.48,1657.73,76.96,169.59,52.82,723.71,84.79,11.5
3473.22,20.94,140.52,133.0,222.16,1662.25,79.46,159.64,55.32,722.63,85.89,11.0
3474.22,22.27,140.45,133.27,223.7,1660.74,78.13,160.94,49.92,723.06,84.74,11.79
3475.23,21.69,140.37,133.34,225.26,1654.72,78.71,151.86,52.27,724.57,85.29,15.11
3476.23,22.65,140.29,133.23,226.42,1655.47,77.75,158.54,50.72,724.79,83.79,15.97
3477.23,21.98,140.22,133.27,227.86,1659.24,78.42,175.43,60.94,723.92,83.24,15.56
3478.24,22.02,140.14,133.46,229.17,1653.21,78.38,159.98,53.03,725.65,84.39,12.45
3479.24,20.78,140.07,133.53,230.78,1597.51,79.62,166.5,52.82,736.21,85.14,11.61
3480.24,22.19,140.03,133.65,232.8,1618.59,78.21,165.82,55.2,732.54,84.34,13.52
3481.26,22.61,140.68,133.46,224.8,1609.56,77.79,157.28,41.26,720.69,83.39,10.37
3482.26,24.52,140.68,133.42,226.64,1609.56,75.88,160.71,52.15,718.1,83.74,11.91
3483.26,21.11,140.65,133.34,228.13,1599.02,79.29,165.63,63.41,716.59,83.64,11.01
3484.27,21.03,140.65,133.65,228.33,1607.3,79.37,150.72,66.09,717.67,82.54,10.97
3485.27,22.4,140.61,133.84,228.34,1597.51,78.0,164.98,56.82,713.58,82.49,11.01
3486.27,22.61,140.61,133.84,228.77,1611.06,77.79,160.29,61.27,717.03,82.69,11.6
3487.27,22.4,140.61,133.88,228.3,1614.83,78.0,164.67,58.37,715.95,81.39,11.39
3488.28,23.23,140.65,133.69,228.28,1610.31,77.17,176.76,58.37,715.3,81.59,12.2
3489.28,21.9,140.61,133.57,227.78,1630.63,78.5,163.91,58.37,717.67,81.24,13.18
3490.28,25.68,140.61,133.5,227.87,1625.36,74.72,158.12,58.83,718.53,80.29,16.28
3491.29,26.63,140.57,133.5,227.68,1641.92,73.77,160.02,46.35,0.0,82.29,14.56
3492.29,26.72,140.57,133.5,227.45,1632.14,73.68,164.79,47.48,686.85,82.14,17.42
3493.29,27.26,140.57,133.5,227.16,1634.4,73.14,128.61,44.71,717.46,81.99,13.6
3494.29,27.67,140.49,133.53,227.0,1648.7,72.73,125.6,50.11,719.18,87.44,15.11
3495.3,27.38,140.49,133.53,227.01,1649.45,73.02,125.48,46.99,718.53,87.59,17.1
