Depth (ft),Weight on bit (k-lbs),Temperature Out (deg F),Temperature In(deg F),Pit Total (bbls),Pump Pressure (psi),Hook load (k-lbs),Surface Torque (psi),Rotary Speed (rpm),Flow In (gal/min),Flow Out Percentage (%),ROP (ft/hr)
196.54,0.0,91.62,96.48,222.97,394.33,37.11,8.25,0.0,1018.42,95.41,450.72
197.73,0.0,91.62,96.44,222.89,393.57,33.68,8.21,0.0,1018.83,94.97,611.7
198.77,0.0,91.66,96.44,222.85,392.43,44.5,8.25,15.22,1017.81,94.09,619.74
199.8,0.0,88.91,96.63,218.56,422.93,58.69,8.09,0.0,1031.26,97.23,676.08
200.92,0.0,88.91,96.63,218.17,424.07,56.7,8.09,17.51,1035.33,97.6,507.06
201.99,0.0,88.87,96.63,217.82,423.69,54.49,8.09,16.74,1034.11,98.56,383.1
202.99,0.0,88.87,96.63,217.59,427.88,56.4,8.06,52.93,1036.35,97.86,360.58
204.05,0.0,88.95,96.48,217.08,435.51,57.54,8.06,0.0,1052.0,98.7,79.81
205.06,0.0,89.33,96.44,216.83,433.98,59.14,8.06,49.9,1055.86,98.72,212.1
206.09,0.0,90.59,96.36,216.22,437.79,56.93,8.06,68.88,1054.64,97.91,179.26
207.12,0.0,91.62,96.32,216.12,438.94,58.0,8.06,6.49,1052.61,97.05,195.71
208.15,0.0,91.47,96.25,215.31,432.46,57.24,8.06,0.0,1052.61,97.4,185.92
209.16,0.0,91.35,96.21,215.36,436.65,58.23,8.09,0.0,1053.02,97.16,240.38
210.16,0.0,90.97,96.17,215.11,438.56,57.92,8.06,0.0,1058.1,98.42,144.23
211.16,0.0,90.59,96.13,215.09,439.32,57.85,8.06,0.0,1056.27,98.33,154.94
212.16,0.0,90.28,96.09,214.52,438.94,56.47,8.09,0.0,1057.9,97.35,200.32
213.22,0.0,90.05,96.06,214.17,437.41,56.17,8.06,0.0,1055.05,97.37,166.57
214.29,0.0,89.9,96.06,213.88,441.23,56.17,8.09,0.0,1056.07,97.28,182.44
215.38,0.0,89.56,96.02,213.09,438.94,57.31,8.06,0.0,1053.22,95.72,127.22
216.39,0.0,89.22,95.98,212.46,440.46,57.47,8.09,0.0,1055.86,96.14,139.72
217.39,0.0,89.52,95.94,212.41,447.71,57.77,8.13,0.0,1063.18,97.65,133.54
218.42,0.0,89.86,95.98,211.89,449.61,48.77,8.13,0.0,1067.05,97.07,232.4
219.45,0.0,94.02,96.02,210.59,447.33,53.65,8.13,0.0,1067.86,97.95,123.58
220.52,0.0,95.39,96.02,209.34,447.71,48.7,8.13,0.0,1066.64,97.56,166.56
221.52,0.0,97.41,96.02,208.91,444.66,55.71,8.13,0.0,1064.81,98.42,225.35
222.52,0.0,97.45,96.09,208.69,442.75,53.73,8.13,0.0,1056.48,97.81,112.68
223.52,0.0,98.33,96.13,207.54,443.89,56.78,8.13,0.0,1058.92,96.21,100.82
224.52,0.0,98.18,96.17,206.99,441.61,57.16,8.13,0.0,1054.65,97.88,171.7
225.56,0.0,98.18,96.21,206.29,436.27,52.36,8.17,0.0,1052.0,98.42,212.84
226.56,0.0,98.4,96.29,205.17,440.84,53.81,8.17,0.0,1052.61,97.4,120.19
227.59,0.0,98.14,96.29,204.9,436.65,54.72,8.17,0.0,1048.55,96.09,98.94
228.62,0.0,98.18,96.36,204.17,435.89,55.56,8.13,0.0,1053.02,96.46,177.07
229.63,0.0,98.21,96.36,203.61,438.56,55.94,8.13,0.0,1050.99,95.58,300.49
230.66,0.0,98.14,96.4,203.32,437.03,56.32,8.17,0.0,1051.6,95.37,265.6
231.66,0.0,98.14,96.4,203.2,435.51,56.86,8.13,0.0,1051.39,95.6,225.36
232.66,0.0,98.06,96.48,201.68,433.6,55.94,8.06,0.0,1049.16,95.9,90.69
233.66,0.0,98.14,96.48,203.04,440.46,57.01,8.06,0.0,1053.83,95.39,262.92
234.7,0.0,98.1,96.51,203.08,436.27,56.09,8.02,0.0,1050.78,95.62,309.87
235.7,0.0,97.99,96.51,202.37,439.32,56.7,7.98,0.0,1054.04,95.86,180.29
236.7,0.0,97.91,96.63,201.36,438.94,56.09,7.98,0.0,1048.95,96.04,109.27
